ice_sheet,melt_season,basin,quality_summary,max_depth,length_water_surfaces,surface_elevation,n_photons_where_water,lon,lat,date_time,lon_min,lon_max,lat_min,lat_max,cycle_number,rgt,gtx,beam_strength,beam_number,detection_quality,lake_quality,granule_id,lake_id,file_name,main_region,basin_name,depth_95th_pctl
GrIS,2019,GRE_2000_CW,100.0,9.63182129889352,1976.0,1465.033137451171,10215,-47.76897015293605,69.32523288285523,2019-08-10T04:05:47Z,-47.773082233558185,-47.76486067405239,69.31323655407664,69.33724224846789,4,658,gt3l,strong,5,0.9064336284373348,115.52764058144729,ATL03_20190810040312_06580403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt3l_0011,data/lakes/lake_03011259_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt3l_0011.h5,,CW,9.61274536357971
GrIS,2019,GRE_2000_CW,64.11320371733075,10.971290752732756,1166.0,1140.253462890624,4982,-49.03576908626376,68.44978741398859,2019-08-18T03:48:56Z,-49.03840047210032,-49.03312739286867,68.44157377204684,68.4580017657161,4,780,gt3l,strong,5,0.8198318491216833,78.10191636474377,ATL03_20190818034635_07800403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190818034635_07800403_006_02_gt3l_0015,data/lakes/lake_03588680_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190818034635_07800403_006_02_gt3l_0015.h5,,CW,10.953544925163119
GrIS,2019,GRE_2000_CW,58.07241170689351,12.271815236311292,1562.0,1185.2882958984364,4292,-48.43156823586308,68.98190601168301,2019-08-14T03:57:22Z,-48.43474074808788,-48.42840291950946,68.97243615582116,68.99139960514574,4,719,gt3l,strong,5,0.6385670925348733,90.84033028396196,ATL03_20190814035453_07190403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190814035453_07190403_006_02_gt3l_0013,data/lakes/lake_04192759_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190814035453_07190403_006_02_gt3l_0013.h5,,CW,12.245568651639891
GrIS,2019,GRE_2000_CW,55.23641274822968,10.936301139003636,998.0,1261.007606079101,5008,-49.02446563110955,69.73855817234877,2019-07-16T05:21:21Z,-49.02699930665639,-49.02193923346649,69.73161152601183,69.74550446135282,4,277,gt1l,strong,1,0.8574791777877322,64.31645466679375,ATL03_20190716051841_02770403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt1l_0000,data/lakes/lake_04476359_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt1l_0000.h5,,CW,10.914283426606646
GrIS,2019,GRE_2000_CW,64.271814032926,8.145120041581851,1673.0,1465.0226201171854,2144,-47.76668111840456,69.32505305919972,2019-08-10T04:05:47Z,-47.770797807143005,-47.762570293435616,69.313059924443,69.3370695230327,4,658,gt3r,weak,6,0.6285732924818441,102.14868335135144,ATL03_20190810040312_06580403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt3r_0014,data/lakes/lake_05896435_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190810040312_06580403_006_02_gt3r_0014.h5,,CW,8.132282364435767
GrIS,2019,GRE_2000_CW,37.54956858949473,4.921429582591282,654.0,1440.6047802734367,3879,-48.9917802714981,70.32912847731731,2019-08-14T03:57:44Z,-48.994148469570405,-48.98942070454356,70.3228238921323,70.33544331090805,4,719,gt2l,strong,3,0.7138504863411809,52.50071023394392,ATL03_20190814035453_07190403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190814035453_07190403_006_02_gt2l_0009,data/lakes/lake_06245043_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190814035453_07190403_006_02_gt2l_0009.h5,,CW,4.908346172720099
GrIS,2019,GRE_2000_CW,31.841541631000094,7.045779570625462,959.0,1126.2244455566383,10530,-49.55684447341383,70.22125400478102,2019-06-17T06:45:38Z,-49.55972193279551,-49.55396822954414,70.21368830297808,70.2288453083479,3,1222,gt1l,strong,1,0.9058546287133904,35.050441491710515,ATL03_20190617064249_12220303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1l_0007,data/lakes/lake_06815846_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1l_0007.h5,,CW,7.042639461047713
GrIS,2020,GRE_2000_CW,26.148171637742223,7.644714943338169,1407.0,1218.4294735717751,31543,-50.514379046935694,71.33514454884073,2020-07-17T11:52:52Z,-50.51831323240939,-50.5104443615064,71.32568273502596,71.34461485581278,8,338,gt1l,strong,1,0.8857681428395864,29.420000972159496,ATL03_20200717114945_03380803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1l_0005,data/lakes/lake_07385183_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200717114945_03380803_006_01_gt1l_0005.h5,,CW,7.627787717015843
GrIS,2019,GRE_2000_CW,23.60947720289318,5.077851917862192,1796.0,1603.2052554931622,16865,-47.67329676767115,68.45554536483182,2019-08-02T17:07:49Z,-47.676989831695785,-47.669609112516994,68.44416721284112,68.46691899906104,4,544,gt2l,strong,3,0.7859284066878499,29.939856815739155,ATL03_20190802170446_05440405_006_02.h5,simplified_GRE_2000_CW_ATL03_20190802170446_05440405_006_02_gt2l_0009,data/lakes/lake_07639052_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190802170446_05440405_006_02_gt2l_0009.h5,,CW,5.069883836053358
GrIS,2019,GRE_2000_CW,23.385280090833497,15.021371606561768,1593.0,1200.5881027832015,6192,-48.57110479111916,68.90640144440698,2019-07-16T05:21:08Z,-48.574404776495086,-48.56781733694216,68.89629948014911,68.9165271443183,4,277,gt3l,strong,5,0.578636449431155,40.31376234801521,ATL03_20190716051841_02770403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt3l_0014,data/lakes/lake_07661472_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt3l_0014.h5,,CW,14.992065288233489
GrIS,2019,GRE_2000_CW,21.54437364877421,10.476864220825432,968.0,1261.1186198730436,1310,-49.02256302897794,69.73899939822877,2019-07-16T05:21:21Z,-49.02533425343724,-49.01978517566885,69.73142482673921,69.74655895106392,4,277,gt1r,weak,2,0.5416183566029792,39.67704155649761,ATL03_20190716051841_02770403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt1r_0001,data/lakes/lake_07845563_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt1r_0001.h5,,CW,10.455122778360971
GrIS,2019,GRE_2000_CW,21.323943591036347,10.991833874875114,2123.0,1157.8207737731911,23023,-48.99488198077168,68.63068076286308,2019-06-17T06:45:13Z,-48.99910421046142,-48.99069021204158,68.61805804371272,68.64333809066098,3,1222,gt1l,strong,1,0.7818641172175556,27.172860325549035,ATL03_20190617064249_12220303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1l_0001,data/lakes/lake_07867606_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1l_0001.h5,,CW,11.006184965598145
GrIS,2019,GRE_2000_CW,21.204062584131428,5.358200269345764,1445.0,1383.646327636717,3030,-47.96350383973338,68.9368567225525,2019-07-12T05:29:26Z,-47.96672956467703,-47.960279332447016,68.92738485403076,68.9463359237377,4,216,gt1r,weak,2,0.54512862455745,38.79664321867697,ATL03_20190712052659_02160403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190712052659_02160403_006_02_gt1r_0002,data/lakes/lake_07879594_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190712052659_02160403_006_02_gt1r_0002.h5,,CW,5.355832549688686
GrIS,2019,GRE_2000_CW,20.70408897183089,7.719919110202382,1048.0,1126.21246520996,4473,-49.554916971843,70.22230292144536,2019-06-17T06:45:39Z,-49.55777939829596,-49.55203456194339,70.21473375763902,70.22988377454061,3,1222,gt1r,weak,2,0.6915016582470552,29.8403324946316,ATL03_20190617064249_12220303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1r_0016,data/lakes/lake_07929591_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190617064249_12220303_006_02_gt1r_0016.h5,,CW,7.704658884230735
GrIS,2019,GRE_2000_CW,20.52458083157195,9.905457151142745,1040.0,1146.4487442626937,7897,-49.1202122489368,69.53422194822983,2019-07-12T18:14:37Z,-49.122831675599215,-49.11760391077621,69.52662585496842,69.54178871322615,4,224,gt3l,strong,5,0.777378905610947,26.301947189408057,ATL03_20190712181153_02240405_006_02.h5,simplified_GRE_2000_CW_ATL03_20190712181153_02240405_006_02_gt3l_0001,data/lakes/lake_07947542_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190712181153_02240405_006_02_gt3l_0001.h5,,CW,9.899968074273499
GrIS,2020,GRE_2000_CW,20.389135531493167,8.469709472740728,569.0,998.7752208251708,4938,-50.17286869159037,70.6819743749725,2020-07-18T00:37:07Z,-50.17488553586978,-50.17087222810388,70.67691313826758,70.68702263387192,8,346,gt1l,strong,1,0.6952450736559164,29.226122604584983,ATL03_20200718003439_03460805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1l_0002,data/lakes/lake_07961086_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1l_0002.h5,,CW,8.45638265280151
