DIST_green,Z_green,Z_green_min_Ad,Z_green_max_Ad,DIST_red,Z_red,Z_red_min_Ad,Z_red_max_Ad,DIST_dem,DEM_uncorrected_z,Z_corrected_dem,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,DEM_first_zero
0,0.172394171,-4.284042358,3.504992723,0,0.074651144,-1.342061281,0.83608973,0,1243.1057,-0.43125,0,0.000781736,0.003253803,-0.001690331,,0
0.699842975,0.172394171,-4.284042358,3.504992723,0.699842975,0.074651144,-1.342061281,0.83608973,1.997751235,1242.9793,-0.30485,8.508865266,0.087009409,0.113795875,0.060222944,,0.1264
1.399685951,0.172394171,-4.284042358,3.504992723,1.399685951,0.074651144,-1.342061281,0.83608973,3.995483906,1242.8963,-0.22185,17.01773053,0.17004123,0.217803231,0.122279229,,0.2094
2.099528926,0.172394171,-4.284042358,3.504992723,2.099528926,0.074651144,-1.342061281,0.83608973,5.993235141,1242.9824,-0.30795,25.5265958,0.250926507,0.315738748,0.186114267,,0.1233
2.799371901,0.172394171,-4.284042358,3.504992723,2.799371901,0.074651144,-1.342061281,0.83608973,7.990967808,1243.1001,-0.42565,34.03546106,0.337156659,0.426561568,0.247751749,,0.0056
3.499214877,0.172394171,-4.284042358,3.504992723,3.499214877,0.074651144,-1.342061281,0.83608973,9.988719043,1243.1275,-0.45305,42.54432633,0.442705048,0.558662104,0.326747993,,-0.0218
4.199057852,0.172394171,-4.284042358,3.504992723,4.199057852,0.074651144,-1.342061281,0.83608973,11.98635345,1242.995,-0.32055,51.05319159,0.553542807,0.689852627,0.417232986,,0.1107
4.898900827,0.172394171,-4.284042358,3.504992723,4.898900827,0.074651144,-1.342061281,0.83608973,13.98410469,1242.7539,-0.07945,59.56205686,0.666315939,0.822393401,0.510238478,,0.3518
5.598743803,0.172394171,-4.284042358,3.504992723,5.598743803,0.074651144,-1.342061281,0.83608973,15.98183735,1242.5825,0.09195,68.07092212,0.787024507,0.950073012,0.623976002,,0.5232
6.298586778,0.172394171,-4.284042358,3.504992723,6.298586778,0.074651144,-1.342061281,0.83608973,17.97958859,1242.5338,0.14065,76.57978739,0.902365437,1.062913561,0.741817313,,0.5719
6.998429753,0.172394171,-4.284042358,3.504992723,6.998429753,0.074651144,-1.342061281,0.83608973,19.97733982,1242.5158,0.15865,85.08865266,1.009226774,1.176175022,0.842278526,,0.5899
7.698272729,0.172394171,-4.284042358,3.504992723,7.698272729,0.074651144,-1.342061281,0.83608973,21.97507249,1242.5989,0.07555,93.59751792,1.121249558,1.295979415,0.946519702,,0.5068
8.398115704,0.172394171,-4.284042358,3.504992723,8.398115704,0.074651144,-1.342061281,0.83608973,23.97282373,1242.6806,-0.00615,102.1063832,1.239687909,1.420598344,1.058777475,,0.4251
9.097958679,0.172394171,-4.284042358,3.504992723,9.097958679,0.074651144,-1.342061281,0.83608973,25.97055639,1242.7704,-0.09595,110.6152485,1.376969218,1.553728854,1.200209582,,0.3353
9.797801654,1.077732801,-3.378702879,4.410332203,9.797801654,0.371211678,-1.045500636,1.132650375,27.96830763,1242.7629,-0.08845,119.1241137,1.52313602,1.670867324,1.375404717,,0.3428
10.49764463,1.077732801,-3.378702879,4.410332203,10.49764463,0.371211678,-1.045500636,1.132650375,29.9660403,1242.7542,-0.07975,127.632979,1.662960022,1.786521167,1.539398876,,0.3515
11.19748761,1.077732801,-3.378702879,4.410332203,11.19748761,0.371211678,-1.045500636,1.132650375,31.96369327,1242.7177,-0.04325,136.1418442,1.792774715,1.892099237,1.693450194,,0.388
11.89733058,1.077732801,-3.378702879,4.410332203,11.89733058,0.371211678,-1.045500636,1.132650375,33.96142594,1242.6656,0.00885,144.6507095,1.910788159,1.991712245,1.829864073,,0.4401
12.59717356,1.077732801,-3.378702879,4.410332203,12.59717356,0.371211678,-1.045500636,1.132650375,35.95917718,1242.6259,0.04855,153.1595748,2.017549803,2.090986847,1.944112758,,0.4798
13.29701653,1.077732801,-3.378702879,4.410332203,13.29701653,0.371211678,-1.045500636,1.132650375,37.95692841,1242.5757,0.09875,161.66844,2.121667115,2.19429856,2.04903567,,0.53
13.99685951,1.077732801,-3.378702879,4.410332203,13.99685951,0.371211678,-1.045500636,1.132650375,39.95466108,1242.5506,0.12385,170.1773053,2.218946753,2.291927047,2.14596646,,0.5551
14.69670248,1.077732801,-3.378702879,4.410332203,14.69670248,0.371211678,-1.045500636,1.132650375,41.95241231,1242.3707,0.30375,178.6861706,2.311309475,2.380751664,2.241867286,,0.735
15.39654546,1.077732801,-3.378702879,4.410332203,15.39654546,0.371211678,-1.045500636,1.132650375,43.95014498,1242.102,0.57245,187.1950358,2.37818278,2.442378713,2.313986848,,1.0037
16.09638843,1.077732801,-3.378702879,4.410332203,16.09638843,0.371211678,-1.045500636,1.132650375,45.94789622,1241.9476,0.72685,195.7039011,2.431263572,2.497796996,2.364730149,,1.1581
16.79623141,1.077732801,-3.378702879,4.410332203,16.79623141,0.371211678,-1.045500636,1.132650375,47.94562888,1242.0766,0.59785,204.2127664,2.480349477,2.552368724,2.408330229,,1.0291
17.49607438,1.077732801,-3.378702879,4.410332203,17.49607438,0.371211678,-1.045500636,1.132650375,49.94338012,1242.2142,0.46025,212.7216316,2.526059217,2.605592683,2.446525751,,0.8915
18.19591736,1.077732801,-3.378702879,4.410332203,18.19591736,0.371211678,-1.045500636,1.132650375,51.94111279,1242.234,0.44045,221.2304969,2.570500511,2.657610573,2.483390449,,0.8717
18.89576033,1.077732801,-3.378702879,4.410332203,18.89576033,0.371211678,-1.045500636,1.132650375,53.93876576,1241.9376,0.73685,229.7393622,2.614941805,2.710390654,2.519492957,,1.1681
19.59560331,2.317593098,-2.138842583,5.650192261,19.59560331,0.807522178,-0.609190166,1.568960786,55.936517,1241.7497,0.92475,238.2482274,2.662514941,2.760302482,2.564727399,,1.356
20.29544628,2.317593098,-2.138842583,5.650192261,20.29544628,0.807522178,-0.609190166,1.568960786,57.93424966,1241.5958,1.07865,246.7570927,2.720776861,2.808875545,2.632678177,,1.5099
20.99528926,2.317593098,-2.138842583,5.650192261,20.99528926,0.807522178,-0.609190166,1.568960786,59.9320009,1241.8205,0.85395,255.265958,2.775398798,2.85889892,2.691898676,,1.2852
21.69513223,2.317593098,-2.138842583,5.650192261,21.69513223,0.807522178,-0.609190166,1.568960786,61.92973357,1241.9788,0.69565,263.7748232,2.81508527,2.888017746,2.742152794,,1.1269
22.39497521,2.317593098,-2.138842583,5.650192261,22.39497521,0.807522178,-0.609190166,1.568960786,63.92748481,1242.1409,0.53355,272.2836885,2.850137445,2.915612391,2.7846625,,0.9648
23.09481819,2.317593098,-2.138842583,5.650192261,23.09481819,0.807522178,-0.609190166,1.568960786,65.92521747,1242.1942,0.48025,280.7925538,2.875734346,2.941325345,2.810143346,,0.9115
23.79466116,2.317593098,-2.138842583,5.650192261,23.79466116,0.807522178,-0.609190166,1.568960786,67.92296871,1242.22,0.45445,289.301419,2.897073588,2.969956916,2.82419026,,0.8857
