Point_num,Latitude,Longitude,Distance along the transect (m),Depth,STD high,STD low
0,67.52178927,-48.28601265,0,0,0,0
1,67.52192269,-48.28605097,15.10244632,0.157833214,0.221163357,0.094503071
2,67.52205611,-48.28609019,30.20489265,0.285458454,0.387144041,0.183772867
3,67.52218953,-48.28612996,45.30733897,0.405123201,0.540315345,0.269931057
4,67.52232295,-48.28617082,60.40978529,0.53719972,0.694881612,0.379517829
5,67.52245637,-48.28621106,75.51223162,0.685731808,0.841338607,0.530125009
6,67.52258979,-48.28625283,90.61467794,0.847573654,0.971566942,0.723580367
7,67.52272321,-48.28629376,105.7171243,0.982979458,1.110477178,0.855481738
8,67.52285663,-48.28633555,120.8195706,1.123066568,1.245976998,1.000156138
9,67.52299005,-48.28637736,135.9220169,1.262103078,1.377067707,1.147138449
10,67.52312347,-48.28641939,151.0244632,1.388934497,1.507540083,1.27032891
11,67.52325689,-48.28646152,166.1269096,1.500356588,1.628386793,1.372326382
12,67.52339031,-48.28650404,181.2293559,1.604893358,1.755719492,1.454067224
13,67.52352373,-48.28654639,196.3318022,1.735132099,1.87671234,1.593551858
14,67.52365715,-48.28658892,211.4342485,1.880571777,1.9896696,1.771473953
15,67.52379057,-48.28663115,226.5366948,1.980950342,2.097713871,1.864186813
16,67.52392399,-48.28667198,241.6391412,2.075266074,2.208845472,1.941686676
17,67.5240574,-48.28671392,256.7415875,2.179444467,2.315370999,2.043517934
18,67.52419082,-48.28675527,271.8440338,2.288880244,2.420596666,2.157163821
19,67.52432424,-48.28679629,286.9464801,2.412059227,2.537347243,2.28677121
20,67.52445766,-48.28683702,302.0489265,2.522356054,2.656364594,2.388347513
21,67.52459108,-48.28687677,317.1513728,2.631426789,2.769638375,2.493215203
22,67.5247245,-48.28691743,332.2538191,2.72789924,2.857311708,2.598486771
23,67.52485792,-48.28695691,347.3562654,2.822910395,2.944538732,2.701282058
24,67.52499134,-48.28699598,362.4587118,2.914251105,3.035670291,2.792831919
25,67.52512476,-48.28703547,377.5611581,3.001537112,3.124302737,2.878771488
26,67.52525818,-48.28707502,392.6636044,3.088233804,3.216940892,2.959526715
27,67.5253916,-48.28711457,407.7660507,3.178967794,3.315563156,3.042372432
28,67.52552502,-48.2871541,422.8684971,3.270385597,3.409552329,3.131218865
29,67.52565844,-48.287194,437.9709434,3.364052547,3.503651908,3.224453186
30,67.52579186,-48.28723346,453.0733897,3.457356624,3.599706843,3.315006404
31,67.52592528,-48.28727393,468.175836,3.559061643,3.691875444,3.426247842
32,67.5260587,-48.28731439,483.2782823,3.663085092,3.781147145,3.54502304
33,67.52619212,-48.28735501,498.3807287,3.749505469,3.874195741,3.624815197
34,67.52632554,-48.28739574,513.483175,3.829058256,3.965520823,3.692595688
35,67.52645896,-48.28743655,528.5856213,3.898786867,4.048249231,3.749324504
36,67.52659238,-48.28747728,543.6880676,3.97300775,4.131698236,3.814317264
37,67.52672579,-48.28751808,558.790514,4.065741758,4.211453589,3.920029926
38,67.52685921,-48.28755866,573.8929603,4.158629845,4.2876353,4.02962439
39,67.52699263,-48.28759906,588.9954066,4.229666681,4.359022714,4.100310648
40,67.52712605,-48.28763911,604.0978529,4.286418524,4.42040553,4.152431517
41,67.52725947,-48.28768011,619.2002993,4.295376385,4.442364972,4.148387798
42,67.52739289,-48.28771974,634.3027456,4.271889274,4.431960371,4.111818178
43,67.52752631,-48.28775928,649.4051919,4.259719913,4.416603298,4.102836528
44,67.52765973,-48.28779929,664.5076382,4.248577229,4.402548441,4.094606017
45,67.52779315,-48.28783883,679.6100845,4.24519007,4.388696789,4.101683351
46,67.52792657,-48.28787812,694.7125309,4.237484262,4.36580645,4.109162074
47,67.52805999,-48.28791876,709.8149772,4.21842993,4.343494971,4.093364889
48,67.52819341,-48.28795828,724.9174235,4.18454639,4.312871015,4.056221765
49,67.52832683,-48.2879985,740.0198698,4.149398353,4.283585225,4.015211482
50,67.52846025,-48.28803813,755.1223162,4.110887682,4.260277012,3.961498352
51,67.52859367,-48.28807796,770.2247625,4.089184237,4.238826023,3.939542451
52,67.52872709,-48.28811842,785.3272088,4.068745202,4.219207563,3.918282842
53,67.52886051,-48.28815976,800.4296551,4.070337926,4.192366622,3.94830923
54,67.52899393,-48.28819917,815.5321015,4.066780115,4.169087398,3.964472831
55,67.52912735,-48.28824164,830.6345478,4.051313257,4.151124863,3.951501651
56,67.52926077,-48.28828292,845.7369941,4.026312148,4.130188998,3.922435298
57,67.52939418,-48.28832454,860.8394404,3.968220609,4.107679268,3.82876195
58,67.5295276,-48.28836637,875.9418867,3.93057384,4.078173998,3.782973683
59,67.52966102,-48.28840909,891.0443331,3.916320838,4.04233933,3.790302346
60,67.52979444,-48.28845203,906.1467794,3.890801946,4.0082886,3.773315293
61,67.52992786,-48.2884956,921.2492257,3.860649461,3.977719239,3.743579683
62,67.53006128,-48.28853801,936.351672,3.817091109,3.948722505,3.685459714
63,67.5301947,-48.28858085,951.4541184,3.764367205,3.919406734,3.609327676
64,67.53032812,-48.28862343,966.5565647,3.713943333,3.889263419,3.538623247
65,67.53046154,-48.28866624,981.659011,3.675822677,3.854206879,3.497438474
66,67.53059496,-48.28870822,996.7614573,3.64810685,3.818502903,3.477710797
67,67.53072838,-48.28874997,1011.863904,3.621807957,3.783242263,3.46037365
68,67.5308618,-48.28879093,1026.96635,3.598444193,3.747067337,3.449821049
69,67.53099522,-48.28883133,1042.068796,3.555330558,3.712252988,3.398408129
70,67.53112864,-48.28887144,1057.171243,3.468713321,3.678831947,3.258594695
71,67.53126206,-48.28891133,1072.273689,3.403239044,3.643397506,3.163080581
72,67.53139548,-48.28895073,1087.376135,3.403376174,3.58194769,3.224804659
73,67.5315289,-48.28898967,1102.478582,3.41120713,3.530188532,3.292225728
74,67.53166232,-48.2890285,1117.581028,3.353417089,3.484221864,3.222612313
75,67.53179574,-48.2890673,1132.683474,3.306201396,3.439156147,3.173246645
76,67.53192916,-48.28910619,1147.785921,3.251861768,3.386474131,3.117249405
77,67.53206258,-48.28914485,1162.888367,3.181967942,3.337393988,3.026541896
