,lake_idx,ice_sheet,melt_season,basin,quality_summary,max_depth,length_water_surfaces,surface_elevation,n_photons_where_water,lon,lat,date_time,lon_min,lon_max,lat_min,lat_max,cycle_number,rgt,gtx,beam_strength,beam_number,detection_quality,lake_quality,granule_id,lake_id,file_name,main_region,basin_name,depth_95th_pctl,qual_nonzero,count_nnz,geometry,intersects_with_extent,extent_idxs
0,252,AIS,2020-21,ANT_1000_East_B-C,0.0790817557842508,1.320873724391414,490.0,396.3591327514404,19576,67.76378393372795,-73.2653341814877,2020-12-25T08:16:01Z,67.76123711458582,67.76632837523172,-73.27033325380125,-73.26031446153128,10,20,gt3l,strong,5,0.0592325337767725,1.2348813891423522,ATL03_20201225080953_00201010_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20201225080953_00201010_006_01_gt3l_0001,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09992092_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20201225080953_00201010_006_01_gt3l_0001.h5,AIS_East,B-C,1.346337678557089,good data,1,"LINESTRING (1694989.0396238833 692904.7329431733, 1694130.7372345345 692690.8595488743)",True,[4138]
1,345,AIS,2020-21,ANT_1000_East_B-C,0.0138089993185898,13.766468301350518,2080.0,216.74147866821684,34823,67.85201830402946,-72.94462038787049,2021-02-04T19:10:20Z,67.8429347580383,67.86110584587031,-72.96341375211921,-72.92582721743868,10,653,gt3r,strong,1,0.1380799931858983,0.0,ATL03_20210204190842_06531012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210204190842_06531012_006_01_gt3r_0001,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09998619_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210204190842_06531012_006_01_gt3r_0001.h5,AIS_East,B-C,14.23357784270446,bad data,0,"LINESTRING (1726974.4404498977 702643.7645762251, 1729518.5212011263 704125.8140567249)",True,"[4997, 5002, 5003]"
2,385,AIS,2020-21,ANT_1000_East_B-C,0.0075459235113158,1.9025276009037704,150.0,551.6035644531005,6101,68.08470751601035,-73.34857495284464,2021-01-23T06:52:09Z,68.08288343908792,68.08651436189602,-73.35236485891107,-73.3448325314594,10,462,gt2r,strong,3,0.0754492351131585,0.0,ATL03_20210123064559_04621010_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210123064559_04621010_006_01_gt2r_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09999245_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210123064559_04621010_006_01_gt2r_0000.h5,AIS_East,B-C,1.9483112852607776,bad data,0,"LINESTRING (1690255.152500598 679950.9357578602, 1689725.2254920385 679817.4312611913)",True,[5207]
3,409,AIS,2020-21,ANT_1000_East_B-C,0.0056272662021637,2.36853513907926,306.0,219.53175280762105,6624,69.55155980702546,-72.44019812953432,2020-11-18T09:56:23Z,69.54960006565368,69.55350106589826,-72.44459978767034,-72.43582093608994,9,843,gt2r,weak,4,0.0562626620216374,0.0,ATL03_20201118095027_08430910_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20201118095027_08430910_006_01_gt2r_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09999437_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20201118095027_08430910_006_01_gt2r_0000.h5,AIS_East,B-C,1.7675846467407674,bad data,0,"LINESTRING (1801577.3368636111 671687.8199612529, 1800887.9170131567 671530.5117636062)",True,[53]
4,458,AIS,2020-21,ANT_1000_East_B-C,0.0026669830382914,1.3669114017233972,368.0,205.6753723144569,6599,67.4448953589295,-73.07934559519762,2021-01-06T20:34:12Z,67.4416241283988,67.44817245235195,-73.08624013245444,-73.07245118920993,10,211,gt1l,strong,1,0.0266598303829146,0.0,ATL03_20210106203237_02111012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210106203237_02111012_006_01_gt1l_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09999733_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210106203237_02111012_006_01_gt1l_0000.h5,AIS_East,B-C,1.4343333707712946,bad data,0,"LINESTRING (1709708.4407898204 710097.0725913089, 1710390.375535779 710496.7101163897)",True,"[2900, 2901]"
5,488,AIS,2020-21,ANT_1000_East_B-C,0.0019650445944966,1.0922199363550864,331.0,81.3587131652871,15015,72.5172404057401,-70.51775308296791,2021-01-07T07:24:39Z,72.51542782084606,72.51905129529165,-70.52277545126934,-70.51270459012623,10,218,gt1l,strong,1,0.0196404459449661,0.0,ATL03_20210107071914_02181010_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210107071914_02181010_006_01_gt1l_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09999803_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210107071914_02181010_006_01_gt1l_0000.h5,AIS_East,B-C,1.0990179199296577,bad data,0,"LINESTRING (2038359.1336267958 641961.0723822588, 2037542.6128662615 641805.8046992485)",True,"[930, 934]"
6,528,AIS,2020-21,ANT_1000_East_B-C,0.0012978913136445,6.295102898885859,3243.0,216.7637523193389,13900,67.8506484789109,-72.94724084928075,2021-02-04T19:10:19Z,67.84098021092265,67.86032107128268,-72.96729908855556,-72.92718802852276,10,653,gt3l,weak,2,0.012968913136445,0.0,ATL03_20210204190842_06531012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210204190842_06531012_006_01_gt3l_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09999870_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210204190842_06531012_006_01_gt3l_0000.h5,AIS_East,B-C,6.942316645505981,bad data,0,"LINESTRING (1726462.4036720134 702444.3800352087, 1730163.1270570338 704598.7797898939)",True,"[4996, 4997, 4998, 5002, 5003, 5004]"
7,533,AIS,2020-21,ANT_1000_East_B-C,0.0012555591045168,0.8695326131788076,206.0,21.8420522155772,5009,68.7344242727622,-72.49764034864963,2020-12-29T20:51:00Z,68.73271215365014,68.73615529625604,-72.50140063608578,-72.49388361517885,10,89,gt1l,strong,1,0.0125455910451685,0.0,ATL03_20201229204916_00891012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20201229204916_00891012_006_01_gt1l_0000,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09999874_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20201229204916_00891012_006_01_gt1l_0000.h5,AIS_East,B-C,,bad data,0,"LINESTRING (1785216.3656987203 694738.0971765239, 1785747.737933014 695032.347038425)",False,[]
8,561,AIS,2020-21,ANT_1000_East_B-C,0.000929642613055,1.7464479654955631,760.0,52.87213948058901,18187,71.08214193422432,-71.682793681526,2021-01-11T07:16:41Z,71.07927490565018,71.08500670608171,-71.68969782341598,-71.6758953736456,10,279,gt3r,weak,6,0.0092864261305509,0.0,ATL03_20210111071058_02791010_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210111071058_02791010_006_01_gt3r_0003,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09999907_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210111071058_02791010_006_01_gt3r_0003.h5,AIS_East,B-C,1.833536356371003,bad data,0,"LINESTRING (1898684.3979556684 650667.500705951, 1897549.9416224628 650436.1006359442)",False,[]
9,583,AIS,2020-21,ANT_1000_East_B-C,0.0007049455209503,1.0903727657961582,899.0,81.50783863830952,19237,70.54242597864584,-72.02143967982435,2021-01-19T19:43:50Z,70.53937497632555,70.54545473144414,-72.02831299886302,-72.01452069259071,10,409,gt3r,strong,1,0.0070394552095037,0.0,ATL03_20210119194158_04091012_006_01.h5,simplified_ANT_1000_East_B-C_ATL03_20210119194158_04091012_006_01_gt3r_0005,/Users/parndt/jupyterprojects/icelakes-methods/data/lakes/lake_09999930_AIS_2020-21_simplified_ANT_1000_East_B-C_ATL03_20210119194158_04091012_006_01_gt3r_0005.h5,AIS_East,B-C,1.1932907622181794,bad data,0,"LINESTRING (1855968.859862195 655600.4001752023, 1857121.4989981134 656193.5945179446)",True,[155]
